country,lat,lon
CHE,47.028107,8.631626
CHE,47.028107,8.631626
CHE,47.028107,8.631626
CHE,47.028107,8.631626
CHE,47.418408,8.373644
CHE,47.418408,8.373644
CHE,47.37545935,7.94404536
CHE,47.188216,7.401496
CHE,46.932974,7.386187
CHE,47.37545935,7.94404536
CHE,46.932974,7.386187
CHE,46.932974,7.386187
CHE,47.188216,7.401496
CHE,46.932974,7.386187
CHE,46.932974,7.386187
CHE,47.516392,8.594864
CHE,47.516392,8.594864
CHE,47.348979,8.717593
CHE,47.516392,8.594864
CHE,47.516392,8.594864
CHE,47.28752013,8.71095613
CHE,47.348979,8.717593
CHE,47.28752013,8.71095613
CHE,46.121962,7.111595
CHE,47.05663687,8.31016189
CHE,46.121962,7.111595
CHE,47.05663687,8.31016189
CHE,46.121962,7.111595
CHE,47.167236,8.104228
CHE,46.121962,7.111595
CHE,47.167236,8.104228
CHE,47.5645498,7.5669566
CHE,47.05663687,8.31016189
CHE,47.05663687,8.31016189
CHE,47.72261,8.643419
CHE,47.05663687,8.31016189
CHE,47.420278,8.503611
CHE,47.05663687,8.31016189
CHE,47.5645498,7.5669566
CHE,47.420278,8.503611
CHE,47.72261,8.643419
CHE,47.5645498,7.5669566
CHE,47.72261,8.643419
CHE,47.5645498,7.5669566
CHE,47.190676,7.553462
CHE,47.190676,7.553462
CHE,47.17207188,8.51858611
CHE,46.353841,7.1501154
CHE,47.17207188,8.51858611
CHE,46.353841,7.1501154
CHE,46.423945,6.2549267
CHE,46.423945,6.2549267
CHE,46.523072,6.8974636
CHE,46.423945,6.2549267
CHE,46.423945,6.2549267
CHE,47.139088,7.2473675
CHE,47.5472991,7.59231203
CHE,47.5472991,7.59231203
CHE,46.950698,7.3927387
CHE,46.950698,7.3927387
CHE,46.523072,6.8974636
CHE,47.181572,7.5634409
CHE,47.139088,7.2473675
CHE,46.740399,7.6222611
CHE,47.181572,7.5634409
CHE,46.740399,7.6222611
CHE,47.508007,7.5533179
CHE,46.997371,7.458359
CHE,47.257121,7.0001883
CHE,47.257121,7.0001883
CHE,47.494034,7.5932032
CHE,46.997371,7.458359
CHE,47.508007,7.5533179
